scenario,seed,method,n_dogs,completion_G0_s,completion_G0_done_s,path_ratio_G0,completion_G1_s,completion_G1_done_s,path_ratio_G1,completion_G2_s,completion_G2_done_s,path_ratio_G2,completion_G3_s,completion_G3_done_s,path_ratio_G3,completion_G4_s,completion_G4_done_s,path_ratio_G4,completion_G5_s,completion_G5_done_s,path_ratio_G5,max_hard_slack_m,all_done,timeouts,deadlock,makespan_s,mean_completion_s,path_ratio,min_dogdog_m,min_dogwall_m,viol_steps_dog,max_viol_depth_m,viol_steps_wall,intervention_rate,stop_steps,reject_steps,mean_dcmd,max_dcmd,filter_p50_ms,filter_p99_ms,condition,n_falls,diverged,arena,wall_s
S5,501,bc_v0+dam,6,4.94,4.94,1.0458844803827534,4.4,4.4,0.9891776021343781,7.46,7.46,0.9752388321772799,6.36,6.36,0.9831997483717779,6.42,6.42,1.057016949285593,5.66,5.66,0.9686223368555649,0.004599158500143379,True,0,False,7.46,5.873333333333333,1.003189991534558,0.40694778244983176,nan,43,0.2930522175501682,0,0.2464349376114082,0,0,0.11502811010293941,1.6156148239970207,0.42025791481137276,1.3204049319028854,bc_v0+dam,0,False,1,59.9
S5,502,bc_v0+dam,6,6.96,6.96,0.9705151093809443,7.62,7.62,0.9799694752402882,6.78,6.78,1.00020628810414,5.42,5.42,1.0051726174672702,6.24,6.24,0.9909903598558434,7.32,7.32,0.9967950281226736,0.00042982131332178767,True,0,False,7.62,6.723333333333334,0.9906081463618599,0.7916374914696713,nan,0,0.0,0,0.3957242582897033,0,0,0.13913184299763184,0.8612353801727295,0.47096190974116325,1.362052746117115,bc_v0+dam,0,False,2,61.1
S5,503,bc_v0+dam,6,0.54,0.54,3.514985227552835,7.34,7.34,0.9839113784516914,10.96,10.96,1.033492857197733,8.84,8.84,1.013402774224843,3.86,3.86,1.3922821167116786,6.0200000000000005,6.0200000000000005,1.0046444934113796,0.0009865305901552571,True,0,False,10.96,6.26,1.4904531412583601,0.5301264463973947,nan,52,0.16987355360260525,0,0.2547055251973285,0,0,0.12799732439608286,1.3778655380010605,0.41574612259864807,1.2875567190349102,bc_v0+dam,0,False,3,84.2
S5,504,bc_v0+dam,6,5.28,5.28,0.9659109357061744,9.72,9.72,0.9909844903161968,3.9,3.9,0.9610844292633005,6.22,6.22,1.0216716933439984,9.92,9.92,1.0036262643381477,8.96,8.96,1.0299186634692479,0.005206408780703533,True,0,False,9.92,7.333333333333334,0.9955327460728443,0.6779746835657994,nan,14,0.02202531643420058,0,0.3101945003353454,0,0,0.11407957272572876,1.1746568754315376,0.4510902799665928,1.37405376881361,bc_v0+dam,0,False,1,79.0
S5,505,bc_v0+dam,6,3.3200000000000003,3.3200000000000003,1.0348384771841366,8.56,8.56,0.9856544786529666,5.9,5.9,0.97692505825589,7.24,7.24,0.9908447064453682,10.14,10.14,0.9804233839500897,8.5,8.5,0.9885910411746844,0.0,True,0,False,10.14,7.276666666666667,0.9928795242771893,1.4530526158184505,nan,0,0.0,0,0.1332020997375328,0,0,0.017516242964144335,0.39552007615566254,0.3190259449183941,1.1739092878997326,bc_v0+dam,0,False,2,80.3
S5,506,bc_v0+dam,6,4.26,4.26,0.9751254207530198,6.98,6.98,0.9862549501883415,7.74,7.74,0.9585322573375472,6.32,6.32,0.9844078840962497,8.74,8.74,0.997630746498202,8.1,8.1,0.9940371221253828,1.470142564850414e-06,True,0,False,8.74,7.023333333333333,0.9826647301664572,1.0103073538683018,nan,0,0.0,0,0.2812024353120244,0,0,0.08571196684440209,0.786654569208622,0.4272167570888996,1.2644059024751186,bc_v0+dam,0,False,3,70.3
S5,508,bc_v0+dam,6,6.38,6.38,0.9712816870869722,4.34,4.34,0.9795217260286515,4.72,4.72,0.9859275324786925,8.8,8.8,0.975036851745663,6.54,6.54,0.9769673973690499,3.64,3.64,0.9889543887658993,0.0,True,0,False,8.8,5.736666666666666,0.9796149305791547,1.2448617418046488,nan,0,0.0,0,0.09561602418745276,0,0,0.02040819874509041,0.5580718517303467,0.3059688024222851,1.1338773183524609,bc_v0+dam,0,False,2,70.5
S5,507,bc_v0+dam,6,10.28,10.28,1.0336368246995546,7.78,7.78,0.981593345801277,8.06,8.06,0.9804627751624875,5.3,5.3,0.997174240427873,7.0,7.0,0.9706958795208048,6.82,6.82,1.006413078514618,7.765893944696488e-08,True,0,False,10.28,7.54,0.9949960240211024,0.7507004508808072,nan,0,0.0,0,0.1925566343042071,0,0,0.04889694897903086,0.6948992284014821,0.4091537557542324,1.3430300168693066,bc_v0+dam,0,False,1,80.8
S5,511,bc_v0+dam,6,6.34,6.34,0.9679843513839461,6.74,6.74,0.9924314531056634,7.7,7.7,0.9702983185581299,1.1400000000000001,1.1400000000000001,0.9762501440459556,2.7,2.7,0.9790914009343623,6.22,6.22,0.9836805444063945,1.5744675079413809e-06,True,0,False,7.7,5.14,0.9782893687390752,1.0428941658538842,nan,0,0.0,0,0.07642487046632124,0,0,0.034988801824900585,0.9461519420146942,0.30444981530308723,1.1192047968506813,bc_v0+dam,0,False,1,62.9
S5,500,bc_v0+dam,6,60.0,nan,nan,0.72,0.72,1.4149917496033086,7.24,7.24,0.9741881661083683,5.82,5.82,0.9744117330802492,2.54,2.54,0.9827989056775926,60.0,nan,nan,0.0,False,2,True,60.0,4.08,1.0865976386173797,2.1612865956704224,nan,0,0.0,0,0.0,0,0,0.0,0.0,0.4533473402261734,1.0078772902488708,bc_v0+dam,0,False,0,434.8
S5,509,bc_v0+dam,6,10.040000000000001,10.040000000000001,0.9916194212828644,60.0,nan,nan,8.34,8.34,1.0621261425221642,3.34,3.34,1.2334950796813184,60.0,nan,nan,6.88,6.88,1.0310890202646932,0.033172391159340155,False,2,True,60.0,7.15,1.07958241593776,0.3655837145483058,nan,94,0.33441628545169416,0,0.05238888888888889,0,0,0.026199003590680756,1.4275885596871376,0.3413925878703594,1.1206287890672684,bc_v0+dam,0,False,3,434.2
S5,510,bc_v0+dam,6,3.04,3.04,1.1876058116389068,60.0,nan,nan,5.66,5.66,1.0986052305287461,5.54,5.54,1.0354297584616918,4.72,4.72,1.0661978305147966,10.22,10.22,1.058464369880903,1.5347426947492885e-06,False,1,True,60.0,5.836,1.089260600205009,0.7552547057421639,nan,0,0.0,0,0.05538888888888889,0,0,0.022882057019911826,1.1438203677535057,0.30326610431075096,1.1695572175085545,bc_v0+dam,0,False,2,432.4
S5,512,bc_v0+dam,6,3.84,3.84,0.9880020649427685,60.0,nan,nan,6.16,6.16,0.9789531600022608,6.08,6.08,0.9792978521920672,7.0,7.0,0.9746279757418124,60.0,nan,nan,0.0,False,2,True,60.0,5.77,0.9802202632197272,1.2928622174562354,nan,0,0.0,0,0.029722222222222223,0,0,0.004675482694784377,0.48611025139689445,0.2996176481246948,1.0953010059893131,bc_v0+dam,0,False,1,433.5
S5,515,bc_v0+dam,6,12.040000000000001,12.040000000000001,1.0017675001316393,8.700000000000001,8.700000000000001,1.0000641944565258,7.640000000000001,7.640000000000001,1.0350342643414168,6.22,6.22,1.092218335264251,10.0,10.0,1.0452218025508215,9.64,9.64,1.0036194769928488,0.008027950193306925,True,0,False,12.040000000000001,9.040000000000001,1.029654262289584,0.3590413722486412,nan,75,0.34095862775135877,0,0.4002211166390271,0,0,0.16580844570703088,1.1399936378002167,0.47027505934238434,1.3468707911670208,bc_v0+dam,0,False,2,94.6
S5,516,bc_v0+dam,6,9.96,9.96,1.0304139630137708,9.68,9.68,0.9819861129885183,6.640000000000001,6.640000000000001,1.0098871558829736,2.66,2.66,1.0749549686208446,10.08,10.08,0.9965621709785965,8.120000000000001,8.120000000000001,1.009018873801256,7.528450852233079e-08,True,0,False,10.08,7.856666666666667,1.01713720754766,0.8429802393531558,nan,0,0.0,0,0.36270627062706273,0,0,0.1156415099611874,0.8133405677508563,0.46257907524704933,1.3908231630921364,bc_v0+dam,0,False,1,80.0
