scenario,condition,n_seeds,n_dogs,n_dogs_ci95,completion_G0_s,completion_G0_s_ci95,completion_G0_done_s,completion_G0_done_s_ci95,path_ratio_G0,path_ratio_G0_ci95,completion_G1_s,completion_G1_s_ci95,completion_G1_done_s,completion_G1_done_s_ci95,path_ratio_G1,path_ratio_G1_ci95,max_hard_slack_m,max_hard_slack_m_ci95,all_done_rate,timeouts,timeouts_ci95,deadlock_rate,makespan_s,makespan_s_ci95,mean_completion_s,mean_completion_s_ci95,path_ratio,path_ratio_ci95,min_dogdog_m,min_dogdog_m_ci95,min_dogwall_m,min_dogwall_m_ci95,viol_steps_dog,viol_steps_dog_ci95,max_viol_depth_m,max_viol_depth_m_ci95,viol_steps_wall,viol_steps_wall_ci95,intervention_rate,intervention_rate_ci95,stop_steps,stop_steps_ci95,reject_steps,reject_steps_ci95,mean_dcmd,mean_dcmd_ci95,max_dcmd,max_dcmd_ci95,filter_p50_ms,filter_p50_ms_ci95,filter_p99_ms,filter_p99_ms_ci95,n_falls,n_falls_ci95,diverged_rate,arena,arena_ci95,wall_s,wall_s_ci95,completion_G2_s,completion_G2_s_ci95,completion_G2_done_s,completion_G2_done_s_ci95,path_ratio_G2,path_ratio_G2_ci95,completion_G3_s,completion_G3_s_ci95,completion_G3_done_s,completion_G3_done_s_ci95,path_ratio_G3,path_ratio_G3_ci95,completion_G4_s,completion_G4_s_ci95,completion_G4_done_s,completion_G4_done_s_ci95,path_ratio_G4,path_ratio_G4_ci95,completion_G5_s,completion_G5_s_ci95,completion_G5_done_s,completion_G5_done_s_ci95,path_ratio_G5,path_ratio_G5_ci95
S2,bc_v0,10,2,0.0,20.054,13.058362840138539,10.0675,0.6258833837065816,0.9972828071892501,0.0035063179540284145,20.068,13.053449843647547,10.085,0.6142810106132207,0.9914311839226129,0.0038391388233154832,0.0,0.0,0.8,0.4,0.5226666666666666,0.2,20.174,13.019278160731064,20.061,13.055604791329191,0.9943569955559315,0.0026564975242737952,0.14227769855419603,0.009526750059067876,nan,nan,201.7,24.506619550190468,0.5577223014458039,0.00952675005906788,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0038351397961378098,0.0024571737681041254,0.01552957110106945,0.000986906075871219,0,0.0,0.0,1.7,0.588,110.95,69.18471937453626,,,,,,,,,,,,,,,,,,,,,,,,
S2,bc_v0+dam,10,2,0.0,7.082000000000001,0.016986666666666646,7.082000000000001,0.016986666666666646,0.9894344092022309,0.002598066509477413,7.086,0.013131837478264725,7.086,0.013131837478264725,0.9892030033731339,0.0022021109043282305,0.0035563406981686976,0.0003157647393407283,1.0,0,0.0,0.0,7.094,0.011759999999999996,7.0840000000000005,0.01280266638894672,0.9893187062876824,0.002154108326944011,0.6488921207907788,0.022042658730280013,nan,nan,10.7,3.332,0.05239383976461841,0.02054282057631258,0,0.0,0.29251406491983817,0.0031996765456038423,0,0.0,0,0.0,0.15274870130425633,0.004051136581325834,1.3548084826506965,0.017094293306324865,0.5145314149558544,0.025698704067441274,1.4900579582899809,0.14100954238213545,0,0.0,0.0,1.3,0.4183374501789461,44.25,0.3845797706588322,,,,,,,,,,,,,,,,,,,,,,,,
S2,bc_v1,10,2,0.0,20.144,13.021858457183956,10.18,0.3056235593013077,1.00038164451854,0.006352654145146751,20.044,13.055190138716648,10.055,0.34863373330760705,0.9985868506054828,0.0042163881888745355,0.0,0.0,0.8,0.4,0.5226666666666666,0.2,20.222,12.996522662421839,20.094,13.038053704131695,0.9994842475620115,0.004883279618487917,0.1351078334761038,0.00780404845794087,nan,nan,466.3,520.8361736899617,0.5648921665238962,0.0078040484579408615,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0034928321838378906,0.001963959716822819,0.015387171879410744,0.0008651700806893599,0,0.0,0.0,1.9,0.7420440238512357,111.2,68.61727071485396,,,,,,,,,,,,,,,,,,,,,,,,
S2,bc_v1+dam,10,2,0.0,7.2,0.011687181962398844,7.2,0.011687181962398844,1.0230075261583462,0.00170405099043271,7.204,0.020073394221096538,7.204,0.020073394221096538,1.0230262928605331,0.0021635547894754727,0.00033499118055678424,0.00012140001743647054,1.0,0,0.0,0.0,7.212,0.014550424201529095,7.202,0.014550424201529156,1.0230169095094397,0.0019114692444046736,0.9218139020584646,0.010767932127473245,nan,nan,0,0.0,0.0,0.0,0,0.0,0.17906468229294037,0.0009816085423984048,0,0.0,0,0.0,0.053574569531445536,0.0008973040059104598,0.5978136181831359,0.014743188861061511,0.4848493728786707,0.025186572620092954,1.3927640859037638,0.05655830700742881,0,0.0,0.0,2.1,0.6163534339610314,44.57,0.5128146470433761,,,,,,,,,,,,,,,,,,,,,,,,
S2,nominal+dam,10,2,0.0,7.130000000000001,0.010534683457776799,7.130000000000001,0.010534683457776799,0.9885691024186414,0.001976815967244322,7.128,0.006401333194473518,7.128,0.006401333194473518,0.9907110827917994,0.002434003091270079,0.0024659935744000294,0.00012107227061025062,1.0,0,0.0,0.0,7.136,0.007840000000000064,7.1290000000000004,0.006821000252488285,0.9896400926052205,0.0016144051396986172,0.7083256015532977,0.008702489512494336,nan,nan,1.3,1.3405279225406348,0.0017738123854117327,0.0018668901357564804,0,0.0,0.2811617337680625,0.001867331157829979,0,0.0,0,0.0,0.14083060789585644,0.0015307175849469568,1.319023250234536,0.008922370651563562,0.2869094256311655,0.06800085904419621,1.0923020541667938,0.139542985459527,0,0.0,0.0,1.3,0.7186666666666667,41.22,1.3978280040437339,,,,,,,,,,,,,,,,,,,,,,,,
S2,nominal+raw,10,2,0.0,10.09,0.3051703145603925,10.09,0.3051703145603925,1.0049224056696784,0.007230680511215663,9.908000000000001,0.3419973790672803,9.908000000000001,0.3419973790672803,1.001228683230973,0.0034368805940110363,0.0,0.0,1.0,0,0.0,0.0,10.232000000000001,0.2739765621768078,9.999,0.27725437626042204,1.0030755444503257,0.004439803499555433,0.13271686188688275,0.006663700694477596,nan,nan,186.1,13.894512362000249,0.5672831381131171,0.0066637006944775985,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0018254853785037994,0.0004105878205358865,0.005540763959288597,0.0007652625577285324,0,0.0,0.0,1.4,0.8862244511283683,63.68,2.4070346385357873,,,,,,,,,,,,,,,,,,,,,,,,
S5,bc_v0,20,6,0.0,17.904,9.894723775869537,7.38,3.6321079367221456,1.052998698825706,0.059224024126874567,17.242,9.68573885836828,6.5525,1.4891050822557823,0.997242389243206,0.017998146752945338,0.0,0.0,0.4,1.1,0.5488736792646134,0.6,40.899,10.76866485606417,6.7986,1.0747022868528022,1.053319849070232,0.031859675844542086,0.43504057449418176,0.197649539440559,nan,nan,1145.9,586.9932782249412,0.3848131954185955,0.10425569665490207,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.002616806887090206,0.0001687762510254584,0.017252028919756413,0.0008157358885954118,0,0.0,0.0,1.5,0.4822010936703089,235.47,61.2645371009844,10.536,7.488631975490372,5.04,1.1759487570535063,1.1283328217360362,0.13599379953464102,21.258,10.381514170692768,8.344000000000001,3.460441871437808,1.0410549661429847,0.06626664620783183,19.123,10.674313495040323,5.497333333333334,1.5491305055991176,1.0515361239030923,0.05342985572230314,12.768,7.186060235211239,7.5200000000000005,1.3748154119711724,1.0297734133376142,0.04116209808903211
S5,bc_v0+dam,20,6,0.0,8.313,5.450121058711496,5.592631578947368,1.1899702227911326,1.0219237118616618,0.024901472983814753,8.666,5.367895841832057,5.96421052631579,0.9261074330264955,1.0428428120164894,0.07663178781234306,0.0009555404324439809,0.00057092909244129,0.65,0.45,0.30079858622288136,0.35,26.594,11.03962797925441,5.939333333333333,0.5307048571111852,1.0414555160735852,0.026231335752059274,0.8784267787413339,0.15368214824598742,nan,nan,13.2,9.75098056067885,0.04431389982284003,0.03379152352609316,0,0.0,0.1696563088660506,0.06401786063316448,0,0.0,0,0.0,0.06315846177531359,0.02646196975748537,0.9177728251554071,0.18306115864088934,0.36852210760116577,0.036119080188160214,1.222344976849854,0.06880271924597256,0.1,0.1348964515158903,0.0,1.9,0.4905155182909206,190.925,77.08954974621193,10.984,7.411301893354642,5.537777777777778,1.0875891327674578,1.0708116403080192,0.09634685916202322,14.618,8.60089962705126,6.609411764705882,0.8278611405887378,1.0314630456780691,0.03663658443628903,5.173,0.99900018949474,5.173,0.99900018949474,1.0569619752792092,0.06514389148036871,12.403,7.2380325062081825,7.114444444444445,1.362140068064007,1.0141885046971837,0.05587346885334829
S5,bc_v1,20,6,0.0,19.579,10.565490843203193,6.105333333333333,1.6548249623986753,1.0758853372118518,0.08525081134744271,26.092,11.283699259097984,7.833846153846154,2.2868248308219647,0.9973758059033515,0.019189754005380803,0.0,0.0,0.25,1.75,0.6496695516305112,0.75,48.493,9.206021607443455,6.8668000000000005,1.2444742650233485,1.0806976874097176,0.06920388454324126,0.44897555089069335,0.20186960852383454,nan,nan,1011.15,570.7621257325478,0.37772382351039385,0.10199903321944892,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0025448622182011604,8.294099605296322e-05,0.01741526648402214,0.0006163446732347168,0.05,0.09799999999999999,0.0,1.5,0.5027293925217254,279.24,52.03424829770647,16.569,9.837879603371963,5.71125,1.5093441029687917,1.142655215623924,0.19057696098022703,23.036,10.923979313607578,7.194285714285715,1.3984069705863937,1.02212528801534,0.0454110969537217,20.42,10.638502406517267,7.226666666666667,3.7074395760116947,1.0102376896756056,0.03917838158518912,29.241,11.626327351676315,8.735,4.690285063249936,1.2067676087723924,0.40406205399544304
S5,bc_v1+dam,20,6,0.0,16.494,9.849528492969117,5.6175,1.4558146564724508,1.034486019805727,0.03599047352926007,20.549,10.327171867402186,7.398666666666666,1.7824764324326356,1.1609670950564097,0.12278311197834962,0.00040019303948438594,0.00045584203863212287,0.15,1.7,0.5525451160431678,0.85,52.325,8.216836499183598,6.37185,1.007939165759881,1.1649250335559493,0.08765958244953825,1.0415842028789877,0.14432887558174082,nan,nan,2.95,4.085368475296613,0.015061104774569355,0.020369231589101724,0,0.0,0.05017455787447665,0.025291069500230315,0,0.0,0,0.0,0.009069399688509604,0.004022587641410389,0.6144494902109727,0.11305363422352095,0.30944105237722397,0.021311672609252826,1.1071149492636323,0.04492426876095208,0.05,0.09799999999999999,0.0,1.65,0.49818428211593385,369.835,57.65351222333567,21.977,11.238663810486406,5.6814285714285715,1.4662257187969179,1.2212303428117468,0.1977345676909153,20.018,10.42049060041548,6.690666666666667,1.2396651808900303,1.1034712160188,0.09240295476310768,27.558,11.945209854739614,5.930000000000001,1.5370510056401494,1.1375755868286173,0.15058477433812864,23.272,10.90045071839161,7.531428571428572,2.0074592590942104,1.2111473963760777,0.34732728526109163
